Date,Description,Amount,Category
2025-12-15,Slack Technologies Monthly Subscription,299.00,Software
2025-12-15,Notion Labs Inc Monthly,49.00,Software
2025-12-14,Figma Inc Design Tools,144.00,Software
2025-12-13,Zoom Video Communications,199.00,Software
2025-12-12,GitHub Inc Enterprise,400.00,Software
2025-12-11,AWS Amazon Web Services,1250.00,Cloud
2025-12-10,Salesforce CRM Subscription,850.00,CRM
2025-12-09,HubSpot Marketing Hub,399.00,Marketing
2025-12-08,Intercom Support Platform,289.00,Support
2025-12-07,Datadog Monitoring,350.00,DevOps
2025-11-15,Slack Technologies Monthly Subscription,299.00,Software
2025-11-15,Notion Labs Inc Monthly,49.00,Software
2025-11-14,Figma Inc Design Tools,144.00,Software
2025-11-13,Zoom Video Communications,199.00,Software
2025-11-12,GitHub Inc Enterprise,400.00,Software
2025-11-11,AWS Amazon Web Services,1180.00,Cloud
2025-11-10,Salesforce CRM Subscription,850.00,CRM
2025-11-09,HubSpot Marketing Hub,399.00,Marketing
2025-11-08,Intercom Support Platform,289.00,Support
2025-11-07,Datadog Monitoring,350.00,DevOps
2025-10-15,Slack Technologies Monthly Subscription,299.00,Software
2025-10-15,Notion Labs Inc Monthly,49.00,Software
2025-10-14,Figma Inc Design Tools,144.00,Software
2025-10-13,Zoom Video Communications,199.00,Software
2025-10-12,GitHub Inc Enterprise,400.00,Software
2025-10-11,AWS Amazon Web Services,1320.00,Cloud
2025-10-10,Salesforce CRM Subscription,850.00,CRM
2025-10-09,HubSpot Marketing Hub,399.00,Marketing
2025-10-08,Intercom Support Platform,289.00,Support
2025-10-07,Datadog Monitoring,350.00,DevOps
2025-09-15,Asana Project Management Annual,2880.00,Software
2025-03-15,Linear Issue Tracking Annual,1440.00,Software
2025-01-20,1Password Teams Annual,420.00,Security
